job_title`,eachjob_welfare`,eachjob_company_detail`,eachjob_company_info`,job_link`
Linux C/C++开发工程师 ` ,1-2.5万/月 ` ,民营公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务 ` ,技能要求：1、熟悉Linux内核原理及核心模块运行细节；2、熟练使用C/C++语言，熟练使用Python/shell任一脚本语言；3、有完整项目经历，熟悉软件开发流程；4、工作主动性强，具有团队合作精神、责任心强，有创新精神；工作内容：1、负责产品相关应用层模块开发； ` ,http://jobs.51job.com/shanghai-pdxq/93404153.html?s=01&t=0
安全研究员 ` ,1-1.5万/月 ` ,民营公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务 ` ,"技能要求：1、熟悉调试和逆向的工具，方法和技巧；2、熟练使用Python等工具开发语言；3、有具体项目经验者可加分；工作内容：1、在导师指导下开展泛linux系统级别（车载系统，云系统，Linux kernel,android）安全研究工作；2、配合相关产品或项目进行研究成果间接转化； ` ",http://jobs.51job.com/shanghai-pdxq/93406376.html?s=01&t=0
高级测试工程师 ` ,1.2-2万/月 ` ,民营公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务 ` ,"岗位职责：1、负责车载无线通信类产品（HUT  TBOX  仪表盘等）的开发测试相关工作，设计测试方案和测试用例，制定测试计划；2、按已编制的测试方案、测试用例和测试计划，有效地进行功能和性能验证，并提交测试报告，跟踪计划执行情况；3、跟踪测试结果并进行基本的分析，以及bug List管理，组织、参与测试bug讨论；对于测试过程中遇到的问题，积极与相关部门或人员进行沟通；4、测试评审：参与测试类评审、需求分析、需求变更评审、测试报告，确认其设计的可行性及可操作性等，满足行业标准、客户要求、体系要求等；5. 独立进行产品及系统的测试计划的制定，测试需求的整理，测试方法的设计以及测试工作的执行;6. 独立进行自动化脚本开发和测试；7.有过车企工作经验者优先。8.有大型外企工作经验者优先。9.有丰富的Linux系统使用经验和脚本（python,perl）编写能力。10.最好有过C语言开发和编译经验者优先（保留培养转岗开发工作的机会）。任职要求：1、本科学历，电子、通信或测量工程类相关专业，专业基础知识良好。2、5年以上的测试经验。有整车车载无线通信类产品测试的优先考虑；3、熟悉功能测试、性能测试和各类常用测试工具。4、具有品质风险预警意识；数据观念强，思路条理清晰，较强的动手能力和学习能力，责任心强。 ` ",http://jobs.51job.com/shanghai-pdxq/93707799.html?s=01&t=0
物联网开发工程师 ` ,1.3-2.6万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  电子技术/半导体/集成电路,计算机软件 ` ",工作职责：1. 设计并实现基于 Wi-Fi / 蓝牙 SoC 的嵌入式开发与应用方案，包括物联网应用方案开发，物联网平台接入，SoC 应用协议移植与开发等；2. 开发与优化开发工具 / 测试工具 / 脚本，包括物联网芯片嵌入式应用测试，外设测试等；3. 客户支持，对客户反馈的需求与问题进行定义、分析和解决。岗位要求：1. 本科及以上学历，计算机／电子工程／通信／自动化等相关专业；2. 拥有 Wi-Fi / 蓝牙应用开发经验；3. 清楚理解计算机网络层次，熟悉 TCP 与 UDP 的特点与使用，了解 Wi-F / 蓝牙协议者；4. 精通 C 语言开发，熟悉脚本语言，会 python 者优先；5. 熟悉常用外设通信接口，SPI / I2S / I2C / UART 等；6. 对单片机与网络开发感兴趣，有物联网芯片应用开发经验者优先。 ` ,http://jobs.51job.com/shanghai-pdxq/92031900.html?s=01&t=0
嵌入式软件测试工程师（Audio /Driver） ` ,1.3-2.6万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  电子技术/半导体/集成电路,计算机软件 ` ","工作职责：1. 制定基于 ESP SDK API 的测试计划；2. 编写、执行、维护测试用例，开发测试应用和脚本，提交测试报告；3. 定位、提交并跟踪bug，配合开发人员优化代码。岗位要求：1. 本科及以上学历，计算机／电子工程／通信／自动化等相关专业；2. 工作年限不限，我们将根据求职者经验和能力提供高级或初级职位；3. 熟悉软件测试流程、方法；4. 熟悉 C/C++ 语言，有较好的编程基础；5. 有一定的 TCP/IP, WIFI, BT 协议基础；6. 熟悉各种外设，如 I2C/SPI/I2S/SDIO/UART 等；7. 熟悉各种实验室仪器，如仿真器、逻辑分析仪、示波器等；8. 熟悉自动化测试，具有脚本语言编程（shell/perl/python 等）经验者优先；9. 良好的沟通和交流能力,较强的问题发现能力，及时反馈结果并推动问题解决。 ` ",http://jobs.51job.com/shanghai-pdxq/92032445.html?s=01&t=0
应用工程师 ` ,1.3-2.6万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  电子技术/半导体/集成电路,计算机软件 ` ",岗位职责：1. 负责客户项目需求评估，方案定位；2. 负责公司产品应用方案的支持；3. 负责相关解决方案应用技术文档撰写；4. 负责公司芯片产品的相关技术培训与支持。岗位要求：1. 本科及以上学历，计算机／电子工程／通信／自动化等相关专业；2. 工作年限不限，我们将根据求职者经验和能力提供高级或初级职位；3. 具有电子，网络设备相关开发，测试实习或项目经验；4. 熟练掌握 C 语言和一门脚本语言，Python 优先；5. 了解产品设计开发，测试，生产，售后等基本流程者优先；6. 有强烈的品质意识，性格乐观开朗，具有团队精神与责任感。 ` ,http://jobs.51job.com/shanghai-pdxq/92033635.html?s=01&t=0
模拟IC设计工程师 ` ,1.4-2.8万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  电子技术/半导体/集成电路,计算机软件 ` ","工作职责：模拟电路模块的设计和版图的floorplan，协助版图工程师，提取寄生参数，最终完成整个设计。协助应用工程师完成芯片的各种测试。职位要求:1.电子信息类专业，硕士，基础扎实;2.有ADC、DAC、PLL、filter、power management、LNA、mixer等设计经验;3.会使用cadence icfb、hspice等工具软件，会使用C、matlab、perl或者 python等编程语言, 有工作经验者优先. ` ",http://jobs.51job.com/shanghai-pdxq/92109018.html?s=01&t=0
蓝牙测试工程师 ` ,1-1.5万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  电子技术/半导体/集成电路,计算机软件 ` ",岗位职责：1. BT测试用例开发2. BT问题初步定位岗位要求：1.熟悉python2.一年以上网络测试经验3.较强的问题分析能力加分项：熟悉蓝牙协议或蓝牙测试优先 ` ,http://jobs.51job.com/shanghai-pdxq/92109182.html?s=01&t=0
数据分析建模师 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  500-1000人    		    		    			  |  金融/投资/证券,互联网/电子商务 ` ",1. 理解公司底层数据结构（包括内部数据和外部数据），从中挖掘海量特征2. 为公司信贷产品建立Ascore、Bscore、Cscore等风险模型和各类营销模型，进行上线部署，并给出策略应用建议3. 对模型进行实时监控，在发现问题时能迅速定位到原因并负责修正4. 对公司客群的风险与盈利情况进行分析，推动渠道、产品和策略改进1. 全日制本科及以上学历，统计、计算机、数学、金融、经济等专业优先2. 银行信用卡或互联网个人信贷一年以上数据分析建模经验，有风控策略经验者优先；特别优秀的应届毕业生亦可考虑3. 热爱数据，关注数据质量，注重对底层数据的理解和挖掘，而不满足于使用现成特征4. 熟练掌握SQL，并能用R/PYTHON/SAS等至少一种工具进行建模5. 热爱挑战，热忱追求从0到1的事业，抗压能力强，对工作有成就感 ` ,http://jobs.51job.com/shanghai-pdxq/94367258.html?s=01&t=0
游戏服务器端开发工程师 ` ,1-1.5万/月 ` ,民营公司    		    			  |  500-1000人    		    		    			  |  网络游戏 ` ,职责：参与编写游戏服务及相关服务的各种逻辑(C++为主，根据情况暴露接口给Lua；另有部分业务使用Python)职位要求：熟练使用C/C++有复杂项目经验良好的沟通能力有较快的学习新事物的能力能承受一定的工作压力有良好的算法和数据结构基础为佳有Python或Lua经验者为佳热爱游戏者为佳 ` ,http://jobs.51job.com/shanghai-pdxq/42328303.html?s=01&t=0
Go语言开发工程师 ` ,1-2万/月 ` ,民营公司    		    			  |  50-150人    		    		    			  |  互联网/电子商务 ` ,1. 负责互联网产品的开发；2. 进行业务系统的需求分析、架构设计及开发；3. 代码编写、升级、维护；4. 独立编写开发相关文档。技能要求：1. 精通GO语言或C/C++语言开发。2. 具有1-3年相关工作经验，计算机及相关专业大专以上学历；3. 熟悉Python者优先。4. 思维清晰，沟通良好，具备良好的分析、理解、解决问题的能力；5. 富有团队精神，愿意接受新技术新思维，学习能力良好 ` ,http://jobs.51job.com/shanghai-xhq/87016965.html?s=01&t=0
运维系统开发工程师 ` ,1-2万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  互联网/电子商务,广告 ` ",工作职责：1．	负责运维自动化平台的设计与开发，编写相关开发文档，接口文档；2．	推动运维工作自动化，发现问题，提升工作效率。职位要求：1.	大专以上学历，3年以上开发相关工作经验；2.	掌握 Node.js 和 MySQL 的开发方法；3．	了解大型网站的常见架构，以及程序的发布流程；4．	使用 Linux / Mac 进行日常工作，具有良好的编程习惯；5．	工作积极主动，有责任心，要与不同项目的人员协作。6．	优先条件：1）	有运维经验者；2）	有 Web 开发经验，熟悉 REST 风格 API 的开发；3）	有 PHP、Java、C 、Python 或 Ruby等任何一种语言的开发经验者；4）	理解操作系统、网络的基础知识。 ` ,http://jobs.51job.com/shanghai-hkq/70114724.html?s=01&t=0
软件测试工程师 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  50-150人    		    		    			  |  互联网/电子商务,汽车及零配件 ` ","本公司技术核心团队人员均来自携程和阿里技术团队精英岗位职责1.负责乐车邦IOS/Android客户端和服务端日常测试工作，对产品的功能、性能及其他方面的测试负责2.深入理解产品需求，编写设计测试用例，以及测试项目的执行，软件质量分析等3.快速、准确定位问题，协助开发复现缺陷，跟踪并推动解决缺陷修复至闭环。4.参与团队的自动化测试工具开发岗位要求1.工作责任心强，可吃苦耐劳,有良好团队合作精神，沟通技巧和协调能力，能承担压力，主动性强；2.熟悉主流的移动测试工具和故障定位工具的使用方法3.熟练掌握数据库或者至少一门脚本语言4.善于发现、分析和总结问题;5.主动钻研新技术、新方法，乐于分享；6.有测试工具开发经验，自动化测试经验者优先（Java,PHP,Python等） ` ",http://jobs.51job.com/shanghai-ypq/74606032.html?s=01&t=0
中高级Mysql DBA ` ,1-2万/月 ` ,"上市公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务,计算机软件 ` ",职位描述：1. 负责核心云产品的100+个Mysql数据库规划、管理、监控和优化2. 对开发人员的SQL语句进行评审和调优3. 为其他业务部门提供数据库相关技术支持职位要求：1. 计算机相关专业，本科及以上学历2. 三年以上Mysql或Oracle dba实际工作经验3. 熟悉RHEL/CentOS等Linux系统，能编写shell脚本实现自动化任务4. 熟悉数据库的运行机制以及体系结构5. 熟悉MySQL数据库规划、监控维护以及troubleshooting；6. 有丰富的数据库性能调优经验，尤其是sql调优7. 有数据库开发、ETL、数据挖掘、数据分析等经验的优先8. 有大数据、Mycat等开源项目经验优先9. 熟悉python等脚本语言优先10. 有电商或互联网等行业经验的优先11. 工作态度认真负责，能承受一定的工作压力，具有良好的沟通能力和团队协作能力12. 某方面能力特别优先的，其他条件可放宽 ` ,http://jobs.51job.com/shanghai-pdxq/80279356.html?s=01&t=0
Java开发工程师 ` ,1-1.5万/月 ` ,民营公司    		    			  |  500-1000人    		    		    			  |  计算机软件 ` ,"1、负责需求分析、详细设计、编码实现和技术文档等工作，确保交付的质量、安全和性能；2、负责web前端或服务器端软件开发、调试、自测和维护；3、与项目相关人员配合共同完成开发设计工作。任职资格：1) JAVA基础扎实，熟悉IO/NIO、多线程、集合等基础框架，对JVM原理有一定的了解；熟练使用Spring Framework、Spring MVC、ORM等业界常用的开源框架;2) 熟练运用HTML/XHTML, CSS，HTML5和CSS3等前端技术及常用开源框架(Jquery/Bootstrap/ECharts等)；3) 了解使用前端的基本调试工具，对HTTP协议及状态码有一定理解；4) 熟悉Linux平台，掌握一种后端开发语言（PHP/Python等）优先；5) 熟悉主流关系数据库MySQL、Oracle，有SQL调优经验优先；6) 较好的沟通协调能力和服务意识, 具有较好的团队合作精神，具备创新意识；7）有呼叫系统经验优先。 ` ",http://jobs.51job.com/shanghai-pdxq/93952553.html?s=01&t=0
软件测试工程师 ` ,1-1.5万/月 ` ,民营公司    		    			  |  500-1000人    		    		    			  |  计算机软件 ` ,岗位职责：1、负责软件产品的测试工作，对测试进度和测试质量负责；2、参与业务需求、设计方案的讨论，负责编写测试方案、测试计划、测试用例，搭建测试软硬件环境，并依此对系统进行测试；3、参与性能优化工作，负责性能测试的执行；4、参与项目的内部评审，如评审软件设计文档、测试计划、测试设计等；5、参与需求文档的评审，提出对软件的进一步改进的要求并评估改进方案是否合理。任职要求：1、计算机及相关专业，本科以上学历，2年以上的软件测试经验；2、熟悉软件测试理论知识和测试流程；3、熟悉Java语言，熟悉python，php，ruby等任何一种脚本语言；4、了解测试工具例如 JMeter、selenium、loadrunner者优先；5、有app测试经验及有appnium使用经验者优先；6、有自动化测试、性能测试或安全测试经验优先。 ` ,http://jobs.51job.com/shanghai-pdxq/94154828.html?s=01&t=0
数据分析师/数据运营 ` ,1-2万/月 ` ,民营公司    		    			  |  10000人以上    		    		    			  |  互联网/电子商务 ` ,工作职责：1、配合互联网金融产品项目，给予数据支持，对产品数据进行整理、分析和深入挖掘，发现产品发展中问题，并提出改进方案；2、对营销和运营活动进行数据分析和总结优化3、自主发起研究课题，通过数据分析挖掘，为产品寻找新的突破点；4、通过深度挖掘用户行为和偏好等，搭建客户画像模型，制定客户分层和相应的用户运营策略，推动数据化运营方案的实施和落地。5、依据产品发展需求，建立智能化分析模型，加强产品智能化功能设计；任职资格：1、 大学本科以上学历，数学系、统计系、计算机或信息管理专业优先，三年或以上数据分析工作经验，有互联网电商数据分析工作经验者优先；2、了解互联网产品数据分析原理，有清晰的数据分析的思路和方法；3、熟练操作excel、spss，精通SQL，能够使用R语言或python4、能够独立完成数理统计、数据分析、数据挖掘等工作，熟知常用算法；5、对数据敏感，善于从数据中发现问题，并可给出一定的解决方案；6、有较高的商业敏感度，能够快速理解业务逻辑，实现业务需求；7、数学、统计、计算机等相关专业硕士及以上学位。上海引旅金服 ` ,http://jobs.51job.com/shanghai-pdxq/85064237.html?s=01&t=0
风险分析师 ` ,1.2-2万/月 ` ,民营公司    		    			  |  10000人以上    		    		    			  |  互联网/电子商务 ` ,岗位职责：1、 支持制定、审核和更新公司消费金融产品信用风险流程，包括审批/授信/调额，完善信用风险定价和额度管理，并建立全面风控体系；2、 支持设计信贷审批和资产监控体系，跟踪、分析政策执行效果，提出政策调整方案；3、 参与信用风险策略在审批和决策流程中的实施和落地；4、 对新产品、流程和设计进行信用风险评估、定价和控制设计，并对项目启动提出风险流程建议。职位要求：1、本科以上学历，经济、金融、数学、统计、计算机、信息科学等相关专业优先考虑；2、 1年以上在消费金融，特别是信用卡领域关于授信和额度管理的风险管理经验；3、 参与过至少一个信贷产品的风控策略；4、 有较强的合规、风险和市场意识，逻辑思维及分析能力；5、 熟悉基本的数据分析工具，如SAS/R/PYTHON，并能通过分析不断优化风险策略；6、 优秀的沟通、演讲和谈判技巧；7、 良好的分析思维和项目管理能力。上海引旅金服 ` ,http://jobs.51job.com/shanghai-pdxq/91363006.html?s=01&t=0
基础运维工程师 ` ,1.2-1.6万/月 ` ,民营公司    		    			  |  10000人以上    		    		    			  |  互联网/电子商务 ` ,岗位职责1.	负责公司信息基础架构的运维，实施，优化和提升2.	负责相关存储产品和虚拟化产品的安装、配置和运维工作3.	负责网络、数据、应用系统的备份，并确保每天数据备份成功4.	对业务部门的需求能提供基于系统的解决方案5.	协助业务软件系统的部署及上线工作6.	维护公司硬件和软件系统的稳定运行7.  负责对信息系统部资产的日常管理任职要求1.	大专及以上学历，计算机相关专业，2年以上运维经验2.	熟悉Windows、Linux服务器操作系统的安装、排错、管理和维护，熟悉AD域操作3.	了解常见服务协议，比如：TCP/IP协议、各类路由协议、WEB服务、DNS服务、DHCP服务、HTTP服务等4.	熟练掌握VMWare虚拟化平台架构5.	熟悉主流备份软件的配置6.	对服务器，存储能够熟练操作及维护，具备简单的故障诊断和处理能力7.	熟悉Shell或Python脚本的编写8.	有任意一种自动化管理工具的使用经验者优先9.	有Nginx配置经验者优先10.	有网络维护工作经验者优先上海引旅金服 ` ,http://jobs.51job.com/shanghai-pdxq/95553866.html?s=01&t=0
人工智能 工程师 ` ,1-2万/月 ` ,"国企    		    			  |  150-500人    		    		    			  |  互联网/电子商务,仪器仪表/工业自动化 ` ",岗位职责：1.在对具体算法深入理解的基础上进行性能调优；2.设计性能测试的工具链并制定算法性能评估的标准流程；3.负责模式识加算法研究及实现。岗位要求：1.信息科学、计算机应用技术等相关专业的硕士毕业生，优秀本科生也可，大学英语六级水平；2.在人工智能、深度学习、模式识别、机器学习，大数据及分布式系统等相关领域工作经验，有2年以上高性能运算（HPC）开发经验并具备下列条件者优先：- 熟悉caffe，torch，theano，mxnet，tensorflow等深度学习框架者优先;- 良好的逻辑综合分析能力，以及强烈的解决问题的意愿，踏实勤奋，自我驱动，善于沟通;- 编程基础扎实，熟悉算法数据结构，有丰富C/C++开发经验，熟悉Python，Lua等脚本语言;3.熟悉常用并行运算/高性能运算框架及类库（如Intel TBB/OpenMP/BLAS/MKL/MPI等）；4.优秀的逻辑思维能力，有较强的责任心、事业心和团队合作精神。 ` ,http://jobs.51job.com/shanghai-pdxq/88898490.html?s=01&t=0
Openstack高级工程师 ` ,1-2万/月 ` ,"国企    		    			  |  150-500人    		    		    			  |  互联网/电子商务,仪器仪表/工业自动化 ` ",职位描述1、负责Openstack云构建、以及架构设计2.具备虚拟化、云计算系统开发运维方面的工作经验，具备Openstack、部署和运维经验。3.熟悉开源社区运作，有开源项目参与经验，Openstack社区积极贡献者优先。能力要求4.熟悉Openstack社区项目，掌握Nova/Cinder/Neutron等项目的架构和流程，熟悉Gantt/Congress/Blazar资源调度和策略管理框架，具备一定混合云部署经验5.了解虚拟化、云计算技术发展趋势，熟悉Openstack社区动向，具备良好架构设计能力和python编码能力6.良好的沟通能力，英文读写能力，具备Openstack项目开发、社区贡献经验优先7.统招本科 4年以上相关经验，专业：计算机、通信、数学相关专业， 年龄不限 ` ,http://jobs.51job.com/shanghai/89894121.html?s=01&t=0
高级软件测试工程师 ` ,1-1.5万/月 ` ,外资（非欧美）    		    			  |  150-500人    		    		    			  |  互联网/电子商务 ` ,1 、负责 WEB 产品的功能、性能、稳定性、自动化测试、安全性等方面的测试工作；2 、根据设计方案或需求制定测试计划、设计测试数据和测试用例；3 、搭建测试环境、部署测试系统，组织完成测试工作；4 、编制软件测试报告并评估软件质量；5 、准确地定位并跟踪问题，推动问题及时合理地解决；6 、负责测试平台的建设和维护。任职要求：1 、计算机或相关专业本科以上学历，须有2年以上 WEB 系统测试、性能优化经验2 、有大型网站、 WEB 产品开发、性能测试经验者优先；python、selenium、linux的优先考虑3、掌握常用 web 服务器 apache 、 tomcat 的应用程序部署和性能优化；4、熟悉各种功能、性能、自动化测试工具的安装与搭建5 、熟悉软件测试基本理论、测试方法和流程；6、较好的团队协作能力，有较强的学习能力和主动性，抗压力强。 ` ,http://jobs.51job.com/shanghai-pdxq/71022322.html?s=01&t=0
测试工程师-高级测试 ` ,1-1.5万/月 ` ,外资（非欧美）    		    			  |  150-500人    		    		    			  |  互联网/电子商务 ` ,1 、负责 WEB 产品的功能、性能、稳定性、自动化测试、安全性等方面的测试工作；2 、根据设计方案或需求制定测试计划、设计测试数据和测试用例；3 、搭建测试环境、部署测试系统，组织完成测试工作；4 、编制软件测试报告并评估软件质量；5 、准确地定位并跟踪问题，推动问题及时合理地解决；6 、负责测试平台的建设和维护。任职要求：1 、计算机或相关专业本科以上学历，须有1年以上 WEB 系统测试、性能优化经验2 、有大型网站、 WEB 产品开发、性能测试经验者优先；python、selenium、linux的优先考虑3、掌握常用 web 服务器 apache 、 tomcat 的应用程序部署和性能优化；4、熟悉各种功能、性能、自动化测试工具的安装与搭建5 、熟悉软件测试基本理论、测试方法和流程；6、较好的团队协作能力，有较强的学习能力和主动性，抗压力强。 ` ,http://jobs.51job.com/shanghai-pdxq/67136753.html?s=01&t=0
A-8  数据挖掘工程师 ` ,1-1.5万/月 ` ,"创业公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务,计算机软件 ` ",岗位职责：1 、对业务数据、用户操作记录、会话日志等信息进行搜集、分析和整理，制作多维度的分析报告；2 、建立并持续完善的多维度标签体系，通过数据仓库建模完成用户画像数据模型；3 、围绕业务数据进行数据挖掘，深度分析用户行为，对用户进行分类，为公司战略决策提供依据；4、完成公司交办的其他工作。任职要求：1、数学、应用数学及计算机相关专业本科毕业，具备学士学位。（能力强、基础扎实的应届毕业生也可考虑）985/211及硕士优先考虑；2、数据挖掘算法扎实：熟悉机器学习基本理论、有很好的动手能力；熟悉R，Python，Java等编程语言；3、具有数据挖掘相关实习或工作实际经验，善于结合业务建立模型、模型调优；有分布式数据处理平台经验（hadoop、spark）者优先；对数字有敏锐的洞察力；4、对车联网、智能硬件感兴趣；5、具备良好的逻辑分析能力，善于沟通和表达，有很强的责任心，能承受较大工作压力。公司简介：驭联智能科技发展（上海）有限公司公司是一家专注从事汽车通讯电子和内容软件研发的高科技创新创业团队，团队的核心成员由多年在欧美从事电子、通讯、互联网等领域精英组成，以某上市企业的雄厚实力和优良背景，坐拥百万级的终端用户。秉着科技安全、智能出行的理念，我们致力于全新的汽车智能设备信息系统和平台的开发，融合行业***解决方案，打造不一样的产品和未来。公司以人为本，信守诺言，唯材适用，共同进退。我们是一家创业团队但不仅仅是一家创业团队，更是一个梦想空间。我们不只是在一起工作，更是和一群志趣相投的人在一起生活！如果你拥有和我们一样的梦想，欢迎应聘此岗位。（本岗位非外包性质，雇员的劳动合同将与上述公司直接签订） ` ,http://jobs.51job.com/shanghai-ptq/92670231.html?s=01&t=0
A-1  高级前端开发工程师 ` ,1-1.5万/月 ` ,"创业公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务,计算机软件 ` ",岗位职责：1、负责公司移动产品的网页版本及网站搭建开发；2、利用HTML5相关技术开发移动平台的Web前端页面、微信应用等；3、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率；4、配合后台工程师一起研讨技术实现方案，进行应用及系统整合，负责Web前端开发；5、完成公司交办的其他工作。岗位要求：1、具有一年以上的Web应用开发经验，熟练掌握HTML5/CSS3代码实现、调优；2、熟悉HTML5标准，精通Javascript前端开发，熟悉AngularJS、React.js、jQuery Mobile、Twitter Bootstrap、Schena Touch等常见HTML5开发框架中的一种，能快速高效实现各种交互效果；代码合理、清晰、规范；3、能够很好的与产品、设计师和后台开发人员沟通协作，有良好的沟通能力、协调能力、强烈的责任心和团队合作精神；4、精通XHTML/XML/CSS、JavaScript、AJAX等，精通W3C标准，熟悉对象化Javascript编程；5、对微信、Android和iOS不同平台的页面适配有较好的了解；6、具有Android、iPhone、iPad等智能手机和平板开发经验优先考虑；7、具有微信公众号开发经验优先考虑；8、熟悉Python、Node.JS、Go等脚本语言开发经验的优先考虑。公司介绍：驭联智能科技发展（上海）有限公司公司是一家专注从事汽车通讯电子和内容软件研发的高科技创新创业团队，团队的核心成员由多年在欧美从事电子、通讯、互联网等领域精英组成，以某上市企业的雄厚实力和优良背景，坐拥百万级的终端用户。秉着科技安全、智能出行的理念，我们致力于全新的汽车智能设备信息系统和平台的开发，融合行业***解决方案，打造不一样的产品和未来。公司以人为本，信守诺言，唯材适用，共同进退。我们是一家创业团队但不仅仅是一家创业团队，更是一个梦想空间。我们不只是在一起工作，更是和一群志趣相投的人在一起生活！如果你拥有和我们一样的梦想，欢迎应聘此岗位。（本岗位非外包性质，雇员的劳动合同将与上述公司直接签订） ` ,http://jobs.51job.com/shanghai-ptq/92630579.html?s=01&t=0
量化研究员 ` ,1-1.5万/月 ` ,上市公司    		    			  |  1000-5000人    		    		    			  |  互联网/电子商务 ` ,"岗位职责：1、协助投资经理研究并协助开发期货市场的量化交易策略,并进行调试、优化、维护以及监控；2、分析国内外商品期货及现货数据，对大量的交易数据进行处理和挖掘，开发交易模型和策略；3、负责交易数据的维护、处理，熟悉滤波；4、负责交易数据统计分析，熟练使用SVM，决策树，GBDT，神经网络，PCA，Deep Learning等Python/Matlab工具包，最好对其中某一领域有深入研究；5、阅读国内外相关学术文献，研究最新成果及其应用价值；任职要求：1、计算机、统计、应用数学、应用物理、金融工程硕士以上学历或国内外重点院校本科以上学历；2、精通至少一门编程语言（Python/matlab/C++/Java）,熟悉数据库应用；3、良好的研究精神和研究习惯（严谨、有创造性、主动等）；4、能独立解决问题，具有团队合作意识和人际沟通能力，勤奋严谨。福利待遇：1、带薪培训：系统化培训体系，新员工带薪培训；2、社会保险：提供完整的五险一金；3、各类补贴：享受员工的交通补贴、午餐津贴等；4、法定假日：法定节假日礼品及祝福；5、生日祝福：员工生日的礼物及祝福活动；6、班车服务：免费提供6条不同线路的班车上下班；7、带薪年假：按照劳动法实行带薪年休假制度；8、健康体检：每年享受年度员工体检；9、拓展旅游：优秀员工拓展活动及旅游奖励。 ` ",http://jobs.51job.com/shanghai-bsq/88945134.html?s=01&t=0
量化研究员 ` ,1-1.5万/月 ` ,上市公司    		    			  |  1000-5000人    		    		    			  |  互联网/电子商务 ` ,"1、协助投资经理研究并协助开发期货市场的量化交易策略,并进行调试、优化、维护以及监控；2、分析国内外商品期货及现货数据，对大量的交易数据进行处理和挖掘，开发交易模型和策略；3、负责交易数据的维护、处理，熟悉滤波；4、负责交易数据统计分析，熟练使用SVM，决策树，GBDT，神经网络，PCA，Deep Learning等Python/Matlab工具包，最好对其中某一领域有深入研究；5、阅读国内外相关学术文献，研究最新成果及其应用价值；任职要求：1、计算机、统计、应用数学、应用物理、金融工程硕士以上学历或国内外重点院校本科以上学历；2、精通至少一门编程语言（Python/matlab/C++/Java）,熟悉数据库应用；3、良好的研究精神和研究习惯（严谨、有创造性、主动等）；4、能独立解决问题，具有团队合作意识和人际沟通能力，勤奋严谨。公司福利：1、带薪培训：系统化培训体系，新员工带薪培训，2、社会保险：按照规定五险一金；3、各类补贴：享受员工的车贴、饭贴及工龄津贴，4、法定假日：法定节假日礼品及祝福，5、生日祝福：员工生日的礼物及祝福活动，6、班车服务：免费提供6条不同线路的班车上下班，7、带薪年假：按照劳动法实行带薪年休假制度，8、健康体检：每年享受年度员工体检，9、拓展旅游：优秀员工拓展活动及旅游奖励。 ` ",http://jobs.51job.com/shanghai-bsq/90594222.html?s=01&t=0
LTE/3G Small/Femto Cell OAM软件（高级）工程师/经理 ` ,1-2.5万/月 ` ,民营公司    		    			  |  50-150人    		    		    			  |  通信/电信/网络设备 ` ,"职位职能:  软件工程师  通信技术工程师/经理工作职责：1. 负责公司LTE Small/Femto Cell的软件开发。2. 负责软件规格说明、系统设计、具体设计和相关文档撰写。3. 负责 LTE 基站 OAM软件的架构和功能定义，设计，实现，测试，以及维护。4. 对相关设计文档，接口文档等进行撰写，审阅。5. 遵循共进通信基站软件的开发流程，发布高质量的LTE基站软件。6. 解决产品在测试、生产和应用过程中相关的问题。任职要求1. 本科及以上学历，计算机科学、电子工程、通信等相关专业。2. 2年以上OAM系统开发经验，对OAM的功能有深入的理解，熟悉TR-069/SNMP协议3. 精通C/C++编程，有良好的编程习惯。4. 熟悉嵌入式系统开发。5. 熟悉脚本开发语言Shell/Perl/Python优先6. 有相关Smallcell平台软件开发经验, 熟悉网络协议、工作原理和实现机制优先考虑能力和素质要求1. 思想开明，诚实可信，认真负责，个性随和2. 服从公司安排，能够进行自我激励及管理，并在一定的监督下高效完成工作任务3. 具有很强的主动分析及解决问题的能力，勇于承担责任，并具备良好的团队合作能力4. 良好的学习能力，对新技术有旺盛的求知欲5. 严谨的工作作风，能承受一定的工作压力；6. 熟悉移动终端类产品项目开发流程，有较强的团队和项目管理意识7. 工作地点：上海/苏州联系邮件： hr@spideradio.cn ` ",http://jobs.51job.com/shanghai-mhq/59773919.html?s=01&t=0
